pais,genero,idade,num_produtos,membro_ativo,saldo,salario_estimado,probabilidade_churn,previsao,data_analise
France,Female,36,1,1,259962.0,266500.0,0.22305479486512703,Baixo Grau de Cancelamento,2026-01-13T20:36:58.910041
Spain,Male,34,1,1,345565.0,334444.0,0.1568625329480087,Baixo Grau de Cancelamento,2026-01-13T20:03:20.012334
France,Male,23,1,1,23344.0,234444.0,0.295458218773258,Baixo Grau de Cancelamento,2026-01-13T20:00:27.956280
Spain,Female,34,2,1,235454.0,333444.0,0.076372702663589,Baixo Grau de Cancelamento,2026-01-13T19:59:36.172635
Spain,Female,24,2,0,4556644.0,23344.0,0.1740670057071914,Baixo Grau de Cancelamento,2026-01-13T19:56:11.596014
France,Female,34,1,1,345456.0,333455.0,0.1568625329480087,Baixo Grau de Cancelamento,2026-01-13T19:35:44.725528
France,Female,34,1,1,23455534.0,233444545.0,0.1015618054319106,Baixo Grau de Cancelamento,2026-01-13T19:31:59.303714
France,Female,23,2,1,23344.0,2233.0,0.281824015584098,Baixo Grau de Cancelamento,2026-01-13T19:21:52.902920
France,Male,23,2,1,234423223.0,23443.0,0.0584417977098462,Baixo Grau de Cancelamento,2026-01-13T19:21:07.216065
France,Male,45,3,0,3455534.0,344555.0,0.766157278500839,Médio Grau de Cancelamento,2026-01-13T19:20:54.972629
Spain,Female,36,1,1,8000000.0,265652.0,0.272161264472521,Baixo Grau de Cancelamento,2026-01-13T19:03:59.963918
Spain,Female,32,2,1,2344444444.0,233333333.0,0.0827281405660498,Baixo Grau de Cancelamento,2026-01-13T18:59:20.118351
Spain,Male,120,1,1,3222222.0,22222.0,0.1118905650240233,Baixo Grau de Cancelamento,2026-01-13T17:53:30.989071
France,Female,344,1,1,3333.0,222.0,0.5493219062133542,Baixo Grau de Cancelamento,2026-01-13T17:52:19.869593
Germany,Male,19,2,1,333333322222.0,22232222222.0,0.1448430830242482,Baixo Grau de Cancelamento,2026-01-13T17:41:43.519057
Germany,Male,32,2,1,333333322222.0,222322222.0,0.0500688451436187,Baixo Grau de Cancelamento,2026-01-13T17:41:06.781601
Germany,Male,32,3,1,33333333.0,2223332.0,0.5425664120747818,Baixo Grau de Cancelamento,2026-01-13T17:41:00.099511
Germany,Male,31,3,1,33333333.0,2223332.0,0.4947184476478642,Baixo Grau de Cancelamento,2026-01-13T17:40:58.007291
Germany,Male,31,3,1,3333334452233.0,2222222222.0,0.4383017623584733,Baixo Grau de Cancelamento,2026-01-13T17:40:54.939815
Spain,Female,31,1,1,3333334452233.0,2222222222.0,0.2365003636305025,Baixo Grau de Cancelamento,2026-01-13T17:40:50.457629
Spain,Female,32,1,1,3333334454.0,2222222223.0,0.2456900020169259,Baixo Grau de Cancelamento,2026-01-13T17:40:44.357759
Spain,Male,34,3,1,324345444.0,2333344.0,0.5374107478957303,Baixo Grau de Cancelamento,2026-01-13T17:40:23.072774
Spain,Male,34423,3,1,324422.0,2333344.0,0.5014847555151175,Baixo Grau de Cancelamento,2026-01-13T17:40:16.791886
Spain,Male,344444,1,1,322222.0,23333333.0,0.1809546237397376,Baixo Grau de Cancelamento,2026-01-13T17:40:06.966923
Spain,Female,33,2,1,533333.0,65522.0,0.058752285479673,Baixo Grau de Cancelamento,2026-01-13T17:39:58.124568
Spain,Female,33,3,1,533333.0,6555566.0,0.2839179819123892,Baixo Grau de Cancelamento,2026-01-13T17:39:54.616491
Spain,Female,34,3,1,53354.0,655555555.0,0.8910703148335818,Alto Grau de Cancelamento,2026-01-13T17:39:48.206738
